# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
460		40865		7841		2026
461		40864		7847		2027
462		40863		7852		2029
463		40863		7853		2030
464		40862		7857		2029
465		40862		7857		2029
466		40862		7860		2030
467		40862		7860		2030
468		40862		7861		2030
469		40862		7863		2030
470		40862		7864		2029
471		40862		7864		2029
472		40862		7865		2030
473		40862		7866		2029
474		40862		7866		2029
475		40861		7868		2027
476		40861		7868		2027
477		40861		7870		2028
478		40861		7871		2027
479		40861		7871		2027
480		40871		7885		2019
481		40868		7890		2022
482		40867		7893		2025
483		40866		7897		2024
484		40866		7901		2023
485		40866		7904		2026
486		40866		7910		2027
487		40867		7915		2027
488		40866		7919		2025
489		40867		7923		2026
490		40868		7929		2028
491		40865		7936		2025
492		40865		7939		2024
493		40865		7941		2023
494		40865		7944		2023
495		40864		7948		2026
496		40864		7949		2025
497		40864		7950		2026
498		40863		7953		2026
499		40863		7956		2026
500		40863		7959		2025
501		40863		7961		2025
502		40863		7967		2024
503		40863		7972		2027
504		40863		7979		2026
505		40863		7984		2023
506		40863		7988		2024
507		40866		7991		2025
508		40863		7996		2024
509		40865		8003		2024
510		40866		8006		2026
511		40864		8008		2026
512		40863		8012		2023
513		40863		8013		2024
514		40865		8015		2026
515		40865		8015		2026
516		40863		8018		2026
517		40863		8021		2028
518		40862		8022		2027
519		40862		8023		2026
520		40871		8034		2025
521		40870		8035		2024
522		40867		8041		2023
523		40868		8047		2023
524		40867		8051		2022
525		40866		8054		2023
526		40866		8055		2023
527		40866		8058		2024
528		40866		8061		2025
529		40866		8063		2023
530		40868		8065		2023
531		40868		8067		2024
532		40868		8072		2024
533		40868		8082		2023
534		40867		8086		2024
535		40867		8089		2025
536		40868		8097		2026
537		40875		8110		2026
538		40870		8127		2028
539		40868		8143		2024
540		40868		8153		2027
541		40865		8158		2029
542		40863		8165		2028
543		40863		8169		2029
544		40860		8175		2029
545		40860		8179		2029
546		40859		8182		2029
547		40859		8183		2028
548		40859		8184		2030
549		40858		8189		2027
550		40858		8190		2028
551		40857		8193		2027
552		40857		8194		2028
553		40856		8196		2025
554		40856		8197		2024
555		40856		8197		2024
556		40856		8199		2022
557		40856		8201		2022
558		40856		8206		2022
559		40859		8208		2024
560		40869		8222		2022
561		40865		8230		2022
562		40859		8239		2024
563		40860		8241		2024
564		40859		8247		2025
565		40859		8250		2026
566		40858		8253		2027
567		40857		8260		2026
568		40859		8266		2028
569		40858		8271		2027
570		40858		8275		2024
571		40857		8278		2025
572		40857		8279		2024
573		40858		8283		2027
574		40856		8286		2028
575		40856		8289		2029
576		40856		8292		2028
577		40855		8295		2030
578		40855		8298		2030
579		40854		8300		2030
580		40854		8303		2028
581		40854		8306		2029
